Timestamp,Location,PM2.5,PM10,NO2,CO,O3,Temperature,Humidity
01-03-2025 00:00,Rural,38.51741995,69.34125581,26.4076076,0.475312577,22.74542221,22.94069406,44.17137517
01-03-2025 01:00,Suburban,39.84032936,89.764902,14.18624631,0.80262282,37.92455076,26.76629914,52.19008643
01-03-2025 02:00,Suburban,20.70253483,70.37975235,13.90748244,1.002603802,15.82913365,26.7526035,50.99232312
01-03-2025 03:00,Rural,11.96881871,96.45565622,21.95046441,0.47468709,35.20793738,19.83213521,44.96491224
01-03-2025 04:00,Suburban,36.41185416,75.1257168,30.82997055,0.302335122,16.42701629,23.10774745,60.1924726
01-03-2025 05:00,Urban,30.7423249,100.4100874,23.33497847,0.037071608,25.22545402,19.94765329,41.49944432
01-03-2025 06:00,Suburban,26.74872967,77.26325826,23.8879318,1.41856342,31.15673919,34.591097,77.17583895
01-03-2025 07:00,Suburban,36.57729149,60.00641019,19.77653828,0.406383316,22.52367012,28.18234901,72.04061797
01-03-2025 08:00,Rural,38.65487275,71.0249202,44.86298304,0.797692769,27.33205089,27.23688639,56.56456228
01-03-2025 09:00,Urban,18.01988234,79.95804198,25.02801499,0.874501164,36.35282593,20.14534059,50.90387997
01-03-2025 10:00,Rural,46.62344602,29.58770681,33.0437896,1.037159691,53.97983914,31.37142961,53.9495821
01-03-2025 11:00,Suburban,40.87975501,86.03860545,23.26681651,0.629394175,36.26742367,26.31201114,55.00476474
01-03-2025 12:00,Urban,52.14434385,85.93151934,31.16165579,0.643923658,29.3156609,28.4140629,68.4576822
01-03-2025 13:00,Urban,28.19336506,42.7181924,12.29319914,0.698325861,21.44879816,21.33547441,79.03403451
01-03-2025 14:00,Rural,31.85443163,64.01213212,26.46223029,0.937709436,42.21123602,30.55794072,78.06905923
01-03-2025 15:00,Urban,39.51726352,57.97994943,17.78714923,0.655901232,24.25075913,25.03062747,42.69009168
01-03-2025 16:00,Rural,53.66790669,69.92935771,41.28431109,0.001041565,30.48884186,30.58904813,60.31251871
01-03-2025 17:00,Suburban,16.84450386,53.78139907,39.24015275,0.49032133,35.03507565,22.06057725,46.00716841
01-03-2025 18:00,Urban,32.45611812,85.97573108,29.94350183,0.368554399,43.2236304,19.41752793,38.96576561
01-03-2025 19:00,Suburban,54.23066218,61.56533464,36.28782673,1.261028031,8.669912101,30.80608466,42.66904151
01-03-2025 20:00,Urban,29.0957506,129.364297,22.51719579,0.772281278,44.21769842,25.64105327,78.39658122
01-03-2025 21:00,Urban,21.85035673,100.9509609,35.77619204,0.167912468,25.24631607,17.36056095,62.98650195
01-03-2025 22:00,Suburban,29.94824875,46.78595594,17.27039659,1.21241379,35.5267453,33.87567718,31.28963214
01-03-2025 23:00,Urban,38.60909098,45.23755443,33.17897024,0.762609077,15.97752358,25.33995814,53.66316003
02-03-2025 00:00,Rural,22.97211149,99.97179443,12.12542129,1.160419726,42.36087702,23.78150402,42.08798522
02-03-2025 01:00,Rural,17.37122027,85.15197065,34.70814803,0.216151969,37.48863035,34.16563134,38.41604704
02-03-2025 02:00,Rural,27.37984407,89.12173134,47.25268154,0.424834281,17.25547151,25.22258014,48.93298233
02-03-2025 03:00,Urban,39.33339617,45.2051021,21.11576048,1.171099413,25.50217134,19.60600321,36.37917341
02-03-2025 04:00,Rural,48.19211268,66.75688309,43.33973665,0.888892088,18.86230426,23.01122948,63.79345724
02-03-2025 05:00,Urban,13.84619671,66.87252446,31.99500674,0.388909323,22.170556,27.70890176,33.02875694
02-03-2025 06:00,Urban,44.40433739,68.82140661,31.30394789,0.841278036,19.35079111,23.43537205,31.03797642
02-03-2025 07:00,Suburban,44.17142382,86.11598211,22.80596885,0.871785461,17.48722459,23.90675143,59.50913659
02-03-2025 08:00,Rural,14.4795378,72.77028764,21.44215619,0.730264425,48.54872115,15.87297741,41.95567711
02-03-2025 09:00,Suburban,41.7584213,68.15927518,25.62554091,0.844101289,26.60822442,34.79223665,37.79688319
02-03-2025 10:00,Suburban,37.69317144,66.06182713,29.02615901,0.994702677,35.59148836,27.96486349,73.43437487
02-03-2025 11:00,Suburban,51.22227932,61.40385834,7.381850991,1.004412374,50.2522367,25.57542312,62.97827982
02-03-2025 12:00,Suburban,16.44348655,47.4315245,22.79885856,0.441633562,22.75236947,25.78122647,31.88687923
02-03-2025 13:00,Rural,35.58499883,61.81653845,38.12101679,0.915023606,37.14021652,31.51634594,32.59718461
02-03-2025 14:00,Rural,35.04309412,67.72418441,8.054601133,1.010493189,25.91086952,33.19558055,75.13888837
02-03-2025 15:00,Suburban,36.07770536,69.24794757,31.48769658,0.830698458,21.41457919,19.68580919,63.21798191
02-03-2025 16:00,Suburban,29.3668816,59.99642382,15.23310371,0.439581943,0,20.57485949,63.56099726
02-03-2025 17:00,Rural,34.23714877,67.16827969,32.50270559,0.825204216,34.61876333,18.12408832,41.10459596
02-03-2025 18:00,Rural,24.86844307,107.2828015,21.9837774,0.200628297,23.26128844,22.17703583,79.97965619
02-03-2025 19:00,Suburban,26.23880597,65.29411244,35.95588428,0.486292585,37.99832223,19.66907575,49.52747382
02-03-2025 20:00,Rural,38.92376757,109.3795018,27.39358935,1.040365347,34.49093281,29.32650226,66.19290313
02-03-2025 21:00,Rural,32.89745415,57.21069918,33.27526202,1.041955832,30.9683212,22.24034281,31.13575561
02-03-2025 22:00,Suburban,11.98344043,53.36488166,21.78230987,1.177408491,30.57757653,20.07688833,47.73140086
02-03-2025 23:00,Rural,30.12483246,88.29092522,21.94497086,0.525599057,27.34267291,24.32042331,46.15647712
03-03-2025 00:00,Rural,59.24352626,73.06313302,16.44868241,0.525632135,16.92204819,24.56368329,58.3904505
03-03-2025 01:00,Suburban,30.72407368,30.14986175,16.48832375,0.464817846,64.92188183,22.70728004,32.53294096
03-03-2025 02:00,Rural,60.84007219,76.16073386,28.25901847,0.934208509,31.56400956,28.93155344,33.1936521
03-03-2025 03:00,Urban,8.745443144,41.99991583,19.02841159,1.056626447,38.95904188,22.33211598,37.8858414
03-03-2025 04:00,Suburban,45.91722098,51.27979198,28.14490927,0.506699414,19.22948212,26.70898613,49.09318121
